long|lat|names|periods
12:29E|45:24N|A|summer_1965,autumn_1965
12:52E|45:16N|C|summer_1965,autumn_1965
12:46E|45:30N|1/1,04/0A|summer_1965,autumn_1965,1978,1979
13:00E|45:30N|2/1,06/0A|summer_1965,autumn_1965,1978,1979
13:14E|45:30N|3/1|summer_1965,autumn_1965
12:41E|45:20N|1/2,B|summer_1965
13:00E|45:20N|2/2,06/0B|summer_1965,autumn_1965,1978,1979
13:14E|45:20N|3/2|summer_1965,autumn_1965
12:32E|45:10N|1/3,02/0C|summer_1965,autumn_1965,1978,1979
12:46E|45:10N|2/3,04/0C|summer_1965,autumn_1965,1978,1979
13:00E|45:10N|3/3,06/0C|summer_1965,autumn_1965,1978,1979
13:14E|45:10N|4/3|summer_1965,autumn_1965
12:32E|45:00N|1/4,02/0D|summer_1965,autumn_1965,1978,1979
12:46E|45:00N|2/4,04/0D|summer_1965,autumn_1965,1978,1979
13:00E|45:00N|3/4,06/0D|summer_1965,autumn_1965,1978,1979
13:14E|45:00N|4/4|summer_1965,autumn_1965
12:32E|44:50N|1/5,02/0E|summer_1965,autumn_1965,1978,1979
12:46E|44:50N|2/5,04/0E|summer_1965,autumn_1965,1978,1979
13:00E|44:50N|3/5,06/0E|summer_1965,autumn_1965,1978,1979
13:14E|44:50N|4/5|summer_1965,autumn_1965
13:29E|44:50N|5/5|summer_1965,autumn_1965
12:32E|44:40N|2/6,02/0F|summer_1965,autumn_1965,1978,1979
12:46E|44:40N|3/6,04/0F|summer_1965,autumn_1965,1978,1979
13:00E|44:40N|4/6,06/0F|summer_1965,autumn_1965,1978,1979
13:14E|44:40N|5/6|summer_1965,autumn_1965
13:36E|44:40N|6/6bis|summer_1965,autumn_1965
12:32E|44:30N|1/7bis,02/0G|summer_1965,autumn_1965,1978,1979
12:46E|44:30N|1/7,04/0G|summer_1965,autumn_1965,1978,1979
13:14E|44:30N|2/7|summer_1965,autumn_1965
13:42E|44:30N|3/7|summer_1965,autumn_1965
13:56E|44:30N|3/7bis|summer_1965,autumn_1965
12:32E|44:20N|1/8|summer_1965
13:00E|44:20N|2/8|summer_1965
13:29E|44:20N|3/8|summer_1965
13:56E|44:20N|4/8|summer_1965,autumn_1965
12:46E|44:10N|1/9|summer_1965
13:14E|44:10N|2/9|summer_1965
13:42E|44:10N|3/9|summer_1965
13:00E|44:00N|1/10N|summer_1965
13:29E|44:00N|2/10|summer_1965
12:25E|45:20N|alpha/2,01/0B|autumn_1965,1978,1979
12:32E|45:20N|beta/2,02/0B|autumn_1965,1978,1979
12:46E|45:20N|Y/2,04/0B|autumn_1965,1978,1979
12:25E|45:10N|alpha/3,01/0C|autumn_1965,1978,1979
12:19E|44:40N|1/6|autumn_1965
12:52E|45:30N|05/0A|1978,1979
13:07E|45:30N|07/0A|1978,1979
13:13E|45:30N|08/0A|1978,1979
13:21E|45:30N|09/0A|1978,1979
12:25E|45:25N|01/2A|1978,1979
12:32E|45:25N|02/2A|1978,1979
12:39E|45:25N|03/2A|1978,1979
12:46E|45:25N|04/2A|1978,1979
12:52E|45:25N|05/2A|1978,1979
13:00E|45:25N|06/2A|1978,1979
13:07E|45:25N|07/2A|1978,1979
13:13E|45:25N|08/2A|1978,1979
13:21E|45:25N|09/2A|1978,1979
12:39E|45:20N|03/0B|1978,1979
12:52E|45:20N|05/0B|1978,1979
13:07E|45:20N|07/0B|1978,1979
13:13E|45:20N|08/0B|1978,1979
13:21E|45:20N|09/0B|1978,1979
12:18E|45:15N|00/2B|1978,1979
12:25E|45:15N|01/2B|1978,1979
12:32E|45:15N|02/2B|1978,1979
12:39E|45:15N|03/2B|1978,1979
12:46E|45:15N|04/2B|1978,1979
12:52E|45:15N|05/2B|1978,1979
13:00E|45:15N|06/2B|1978,1979
13:07E|45:15N|07/2B|1978,1979
13:13E|45:15N|08/2B|1978,1979
13:21E|45:15N|09/2B|1978,1979
12:39E|45:10N|03/0C|1978,1979
12:52E|45:10N|05/0C|1978,1979
13:07E|45:10N|07/0C|1978,1979
13:13E|45:10N|08/0C|1978,1979
13:21E|45:10N|09/0C|1978,1979
12:25E|45:05N|01/2C|1978,1979
12:32E|45:05N|02/2C|1978,1979
12:39E|45:05N|03/2C|1978,1979
12:46E|45:05N|04/2C|1978,1979
12:52E|45:05N|05/2C|1978,1979
13:00E|45:05N|06/2C|1978,1979
13:07E|45:05N|07/2C|1978,1979
13:13E|45:05N|08/2C|1978,1979
13:21E|45:05N|09/2C|1978,1979
12:39E|45:00N|03/0D|1978,1979
12:52E|45:00N|05/0D|1978,1979
13:07E|45:00N|07/0D|1978,1979
13:13E|45:00N|08/0D|1978,1979
13:21E|45:00N|09/0D|1978,1979
12:32E|44:55N|02/2D|1978,1979
12:39E|44:55N|03/2D|1978,1979
12:46E|44:55N|04/2D|1978,1979
12:52E|44:55N|05/2D|1978,1979
13:00E|44:55N|06/2D|1978,1979
13:07E|44:55N|07/2D|1978,1979
13:13E|44:55N|08/2D|1978,1979
12:39E|44:50N|03/0E|1978,1979
12:52E|44:50N|05/0E|1978,1979
13:07E|44:50N|07/0E|1978,1979
13:13E|44:50N|08/0E|1978,1979
13:21E|44:50N|09/0E|1978,1979
12:18E|44:45N|00/2E|1978,1979
12:25E|44:45N|01/2E|1978,1979
12:32E|44:45N|02/2E|1978,1979
12:39E|44:45N|03/2E|1978,1979
12:46E|44:45N|04/2E|1978,1979
12:52E|44:45N|05/2E|1978,1979
13:00E|44:45N|06/2E|1978,1979
13:07E|44:45N|07/2E|1978,1979
13:13E|44:45N|08/2E|1978,1979
13:21E|44:45N|09/2E|1978,1979
12:18E|44:40N|00/0F|1978,1979
12:25E|44:40N|01/0F|1978,1979
12:39E|44:40N|03/0F|1978,1979
12:52E|44:40N|05/0F|1978,1979
13:07E|44:40N|07/0F|1978,1979
13:13E|44:40N|08/0F|1978,1979
13:21E|44:40N|09/0F|1978,1979
12:18E|44:35N|00/2F|1978,1979
12:25E|44:35N|01/2F|1978,1979
12:32E|44:35N|02/2F|1978,1979
12:39E|44:35N|03/2F|1978,1979
12:46E|44:35N|04/2F|1978,1979
12:52E|44:35N|05/2F|1978,1979
13:00E|44:35N|06/2F|1978,1979
13:07E|44:35N|07/2F|1978,1979
13:13E|44:35N|08/2F|1978,1979
13:21E|44:35N|09/2F|1978,1979
12:18E|44:30N|00/0G|1978,1979
12:25E|44:30N|01/0G|1978,1979
12:39E|44:30N|03/0G|1978,1979
12:52E|44:30N|05/0G|1978,1979
13:00E|44:30N|06/0G|1978,1979
13:07E|44:30N|07/0G|1978,1979
13:13E|44:30N|08/0G|1978,1979
13:21E|44:30N|09/0G|1978,1979
